id,dg
S0_M_T1,0.47895
S0_M_T10,0.50865
S0_M_T1001,0.54115
S0_M_T1002,0.54179
S0_M_T1006,0.5505
S0_M_T1007,0.44415
S0_M_T1008,0.4685
S0_M_T1009,0.45499
S0_M_T1013,0.59749
S0_M_T1014,0.53347
S0_M_T1017,0.46283
S0_M_T102,0.60645
S0_M_T1022,0.48224
S0_M_T1027,0.62455
S0_M_T1029,0.49889
S0_M_T1033,0.46385
S0_M_T1034,0.46544
S0_M_T1039,0.7305
S0_M_T1041,0.37089
S0_M_T1047,0.55195
S0_M_T1048,0.6288
S0_M_T1050,0.54729
S0_M_T1051,0.50582
S0_M_T1052,0.57988
S0_M_T1055,0.57229
S0_M_T1056,0.47835
S0_M_T1059,0.45076
S0_M_T1060,0.50261
S0_M_T1063,0.42878
S0_M_T1065,0.36354
S0_M_T1072,0.52971
S0_M_T1073,0.45459
S0_M_T1075,0.52468
S0_M_T1076,0.5004
S0_M_T1078,0.33166
S0_M_T1082,0.57482
S0_M_T1083,0.53796
S0_M_T1086,0.45281
S0_M_T1087,0.41751
S0_M_T1088,0.42457
S0_M_T1089,0.40873
S0_M_T109,0.45003
S0_M_T1090,0.41574
S0_M_T1091,0.62626
S0_M_T1093,0.56986
S0_M_T1096,0.59935
S0_M_T1100,0.51852
S0_M_T1105,0.44839
S0_M_T1107,0.43155
S0_M_T111,0.41868
S0_M_T1110,0.42978
S0_M_T1113,0.40682
S0_M_T1116,0.53479
S0_M_T1117,0.43984
S0_M_T1119,0.46591
S0_M_T112,0.39871
S0_M_T1125,0.44917
S0_M_T1126,0.53859
S0_M_T113,0.39222
S0_M_T1130,0.48837
S0_M_T1135,0.48093
S0_M_T1142,0.4877
S0_M_T1143,0.56065
S0_M_T1145,0.45099
S0_M_T1149,0.42862
S0_M_T1150,0.54251
S0_M_T1151,0.19039
S0_M_T1152,0.27742
S0_M_T1153,0.28766
S0_M_T1154,0.55143
S0_M_T1158,0.64101
S0_M_T1162,0.5232
S0_M_T117,0.54946
S0_M_T1176,0.57859
S0_M_T118,0.56085
S0_M_T119,0.50302
S0_M_T1195,0.5464
S0_M_T1205,0.53503
S0_M_T121,0.64777
S0_M_T1210,0.38569
S0_M_T1212,0.51905
S0_M_T1213,0.40279
S0_M_T1214,0.57576
S0_M_T1215,0.57051
S0_M_T1216,0.5235
S0_M_T1217,0.58252
S0_M_T1218,0.41204
S0_M_T1219,0.56797
S0_M_T1220,0.49175
S0_M_T1221,0.46824
S0_M_T1222,0.47834
S0_M_T123,0.63106
S0_M_T1241,0.51324
S0_M_T1243,0.61571
S0_M_T1251,0.61131
S0_M_T1252,0.58951
S0_M_T1263,0.63327
S0_M_T1279,0.70421
S0_M_T1280,0.59035
S0_M_T13,0.39094
S0_M_T1306,0.53226
S0_M_T1309,0.53459
S0_M_T1313,0.5786
S0_M_T1314,0.6304
S0_M_T1322,0.41298
S0_M_T137,0.51977
S0_M_T138,0.39873
S0_M_T139,0.51737
S0_M_T140,0.49912
S0_M_T142,0.51977
S0_M_T144,0.51737
S0_M_T145,0.49912
S0_M_T147,0.51737
S0_M_T148,0.49912
S0_M_T149,0.51977
S0_M_T15,0.56847
S0_M_T150,0.39873
S0_M_T151,0.51737
S0_M_T152,0.51046
S0_M_T153,0.51977
S0_M_T154,0.51737
S0_M_T155,0.49912
S0_M_T156,0.51977
S0_M_T157,0.39873
S0_M_T158,0.51737
S0_M_T159,0.49912
S0_M_T161,0.51977
S0_M_T162,0.39873
S0_M_T163,0.51737
S0_M_T164,0.49912
S0_M_T168,0.51737
S0_M_T169,0.49912
S0_M_T170,0.51977
S0_M_T171,0.49912
S0_M_T172,0.51977
S0_M_T173,0.39873
S0_M_T174,0.51737
S0_M_T175,0.49912
S0_M_T176,0.51977
S0_M_T177,0.52895
S0_M_T178,0.51737
S0_M_T179,0.49912
S0_M_T180,0.39873
S0_M_T181,0.51977
S0_M_T182,0.39873
S0_M_T19,0.57148
S0_M_T191,0.49209
S0_M_T192,0.41487
S0_M_T193,0.51068
S0_M_T194,0.50058
S0_M_T195,0.57232
S0_M_T196,0.52539
S0_M_T198,0.2684
S0_M_T207,0.62121
S0_M_T221,0.2684
S0_M_T223,0.62121
S0_M_T228,0.62121
S0_M_T229,0.42978
S0_M_T236,0.49209
